clientid,clientname,productgroup,planname,planid,groupid,benefitid,volume
1052,Jacobson Group,MED,HMO  ,JHP00282  ,JHG00282  ,JHB00282  ,19672
1052,Jacobson Group,MED,PPO  ,JPP00284  ,JPG00284  ,JPB00284  ,5653
1052,Jacobson Group,MED,POS  ,JPP00283  ,JPG00283  ,JPB00283  ,2840
1052,Jacobson Group,DENT,DHMO ,JDP00280  ,JDG00280  ,JDB00280  ,2097
1052,Jacobson Group,DENT,DPPO ,JDP00281  ,JDG00281  ,JDB00281  ,730
1052,Jacobson Group,DENT,DEPO ,JDP00279  ,JDG00279  ,JDB00279  ,713
1052,Jacobson Group,"MED,DENT",GHMO ,JGP00285  ,JGG00285  ,JGB00285  ,3115
1052,Jacobson Group,"MED,DENT",GPPO ,JGP00286  ,JGG00286  ,JGB00286  ,324
1053,Durgan Inc,MED,HMO  ,DHP00287  ,DHG00287  ,DHB00287  ,17435
1053,Durgan Inc,MED,PPO  ,DPP00289  ,DPG00289  ,DPB00289  ,5046
1053,Durgan Inc,MED,POS  ,DPP00288  ,DPG00288  ,DPB00288  ,2536
1054,"Hyatt, Bogisich and Ondricka",MED,HMO  ,HHP00293  ,HHG00293  ,HHB00293  ,3428
1054,"Hyatt, Bogisich and Ondricka",MED,PPO  ,HPP00295  ,HPG00295  ,HPB00295  ,982
1054,"Hyatt, Bogisich and Ondricka",MED,POS  ,HPP00294  ,HPG00294  ,HPB00294  ,525
1054,"Hyatt, Bogisich and Ondricka",DENT,DHMO ,HDP00291  ,HDG00291  ,HDB00291  ,375
1054,"Hyatt, Bogisich and Ondricka",DENT,DPPO ,HDP00292  ,HDG00292  ,HDB00292  ,128
1054,"Hyatt, Bogisich and Ondricka",DENT,DEPO ,HDP00290  ,HDG00290  ,HDB00290  ,109
1054,"Hyatt, Bogisich and Ondricka","MED,DENT",GHMO ,HGP00296  ,HGG00296  ,HGB00296  ,526
1054,"Hyatt, Bogisich and Ondricka","MED,DENT",GPPO ,HGP00297  ,HGG00297  ,HGB00297  ,65
1055,Ebert PLC,MED,HMO  ,EHP00298  ,EHG00298  ,EHB00298  ,26523
1055,Ebert PLC,MED,PPO  ,EPP00300  ,EPG00300  ,EPB00300  ,7731
1055,Ebert PLC,MED,POS  ,EPP00299  ,EPG00299  ,EPB00299  ,3927
1056,"Schneider, Lehner and D'Amore",MED,HMO  ,SHP00304  ,SHG00304  ,SHB00304  ,8129
1056,"Schneider, Lehner and D'Amore",MED,PPO  ,SPP00306  ,SPG00306  ,SPB00306  ,2292
1056,"Schneider, Lehner and D'Amore",MED,POS  ,SPP00305  ,SPG00305  ,SPB00305  ,1141
1056,"Schneider, Lehner and D'Amore",DENT,DHMO ,SDP00302  ,SDG00302  ,SDB00302  ,916
1056,"Schneider, Lehner and D'Amore",DENT,DPPO ,SDP00303  ,SDG00303  ,SDB00303  ,279
1056,"Schneider, Lehner and D'Amore",DENT,DEPO ,SDP00301  ,SDG00301  ,SDB00301  ,277
1056,"Schneider, Lehner and D'Amore","MED,DENT",GHMO ,SGP00307  ,SGG00307  ,SGB00307  ,1301
1056,"Schneider, Lehner and D'Amore","MED,DENT",GPPO ,SGP00308  ,SGG00308  ,SGB00308  ,130
1057,Gleason-Pfannerstill,MED,HMO  ,GHP00314  ,GHG00314  ,GHB00314  ,1873
1057,Gleason-Pfannerstill,MED,PPO  ,GPP00316  ,GPG00316  ,GPB00316  ,546
1057,Gleason-Pfannerstill,MED,POS  ,GPP00315  ,GPG00315  ,GPB00315  ,275
1057,Gleason-Pfannerstill,DENT,DHMO ,GDP00310  ,GDG00310  ,GDB00310  ,422
1057,Gleason-Pfannerstill,DENT,DPPO ,GDP00311  ,GDG00311  ,GDB00311  ,150
1057,Gleason-Pfannerstill,DENT,DEPO ,GDP00309  ,GDG00309  ,GDB00309  ,121
1057,Gleason-Pfannerstill,PDP,PDP  ,GPP00323  ,GPG00323  ,GPB00323  ,673
1057,Gleason-Pfannerstill,"MED,DENT",GHMO ,GGP00317  ,GGG00317  ,GGB00317  ,2384
1057,Gleason-Pfannerstill,"MED,DENT",GPPO ,GGP00318  ,GGG00318  ,GGB00318  ,300
1057,Gleason-Pfannerstill,"MED,PDP",GHMO ,GGP00321  ,GGG00321  ,GGB00321  ,1057
1057,Gleason-Pfannerstill,"MED,PDP",GPPO ,GGP00322  ,GGG00322  ,GGB00322  ,271
1057,Gleason-Pfannerstill,"DENT,PDP",GHMO ,GGP00312  ,GGG00312  ,GGB00312  ,481
1057,Gleason-Pfannerstill,"DENT,PDP",GPPO ,GGP00313  ,GGG00313  ,GGB00313  ,195
1057,Gleason-Pfannerstill,"MED,DENT,PDP",GHMO ,GGP00320  ,GGG00320  ,GGB00320  ,1414
1057,Gleason-Pfannerstill,"MED,DENT,PDP",GEPO ,GGP00319  ,GGG00319  ,GGB00319  ,3407
1058,Shanahan PLC,MED,HMO  ,SHP00327  ,SHG00327  ,SHB00327  ,6208
1058,Shanahan PLC,MED,PPO  ,SPP00329  ,SPG00329  ,SPB00329  ,1805
1058,Shanahan PLC,MED,POS  ,SPP00328  ,SPG00328  ,SPB00328  ,891
1058,Shanahan PLC,DENT,DHMO ,SDP00325  ,SDG00325  ,SDB00325  ,642
1058,Shanahan PLC,DENT,DPPO ,SDP00326  ,SDG00326  ,SDB00326  ,235
1058,Shanahan PLC,DENT,DEPO ,SDP00324  ,SDG00324  ,SDB00324  ,214
1058,Shanahan PLC,"MED,DENT",GHMO ,SGP00330  ,SGG00330  ,SGB00330  ,1045
1058,Shanahan PLC,"MED,DENT",GPPO ,SGP00331  ,SGG00331  ,SGB00331  ,114
1059,Price PLC,MED,HMO  ,PHP00335  ,PHG00335  ,PHB00335  ,24483
1059,Price PLC,MED,PPO  ,PPP00337  ,PPG00337  ,PPB00337  ,6943
1059,Price PLC,MED,POS  ,PPP00336  ,PPG00336  ,PPB00336  ,3469
1059,Price PLC,DENT,DHMO ,PDP00333  ,PDG00333  ,PDB00333  ,2575
1059,Price PLC,DENT,DPPO ,PDP00334  ,PDG00334  ,PDB00334  ,850
1059,Price PLC,DENT,DEPO ,PDP00332  ,PDG00332  ,PDB00332  ,837
1059,Price PLC,"MED,DENT",GHMO ,PGP00338  ,PGG00338  ,PGB00338  ,3984
1059,Price PLC,"MED,DENT",GPPO ,PGP00339  ,PGG00339  ,PGB00339  ,441
1060,"Gleason, Wiza and Deckow",DENT,DHMO ,GDP00341  ,GDG00341  ,GDB00341  ,6214
1060,"Gleason, Wiza and Deckow",DENT,DPPO ,GDP00342  ,GDG00342  ,GDB00342  ,2016
1060,"Gleason, Wiza and Deckow",DENT,DEPO ,GDP00340  ,GDG00340  ,GDB00340  ,2074
1060,"Gleason, Wiza and Deckow",PDP,PDP  ,GPP00345  ,GPG00345  ,GPB00345  ,3424
1060,"Gleason, Wiza and Deckow","DENT,PDP",GHMO ,GGP00343  ,GGG00343  ,GGB00343  ,2349
1060,"Gleason, Wiza and Deckow","DENT,PDP",GPPO ,GGP00344  ,GGG00344  ,GGB00344  ,990
1061,"Turner, Doyle and Abshire",MED,HMO  ,THP00351  ,THG00351  ,THB00351  ,2400
1061,"Turner, Doyle and Abshire",MED,PPO  ,TPP00353  ,TPG00353  ,TPB00353  ,670
1061,"Turner, Doyle and Abshire",MED,POS  ,TPP00352  ,TPG00352  ,TPB00352  ,316
1061,"Turner, Doyle and Abshire",DENT,DHMO ,TDP00347  ,TDG00347  ,TDB00347  ,491
1061,"Turner, Doyle and Abshire",DENT,DPPO ,TDP00348  ,TDG00348  ,TDB00348  ,170
1061,"Turner, Doyle and Abshire",DENT,DEPO ,TDP00346  ,TDG00346  ,TDB00346  ,193
1061,"Turner, Doyle and Abshire",PDP,PDP  ,TPP00360  ,TPG00360  ,TPB00360  ,862
1061,"Turner, Doyle and Abshire","MED,DENT",GHMO ,TGP00354  ,TGG00354  ,TGB00354  ,3067
1061,"Turner, Doyle and Abshire","MED,DENT",GPPO ,TGP00355  ,TGG00355  ,TGB00355  ,334
1061,"Turner, Doyle and Abshire","MED,PDP",GHMO ,TGP00358  ,TGG00358  ,TGB00358  ,1303
1061,"Turner, Doyle and Abshire","MED,PDP",GPPO ,TGP00359  ,TGG00359  ,TGB00359  ,340
1061,"Turner, Doyle and Abshire","DENT,PDP",GHMO ,TGP00349  ,TGG00349  ,TGB00349  ,586
1061,"Turner, Doyle and Abshire","DENT,PDP",GPPO ,TGP00350  ,TGG00350  ,TGB00350  ,250
1061,"Turner, Doyle and Abshire","MED,DENT,PDP",GHMO ,TGP00357  ,TGG00357  ,TGB00357  ,1742
1061,"Turner, Doyle and Abshire","MED,DENT,PDP",GEPO ,TGP00356  ,TGG00356  ,TGB00356  ,4089
1062,Zemlak-Cormier,MED,HMO  ,ZHP00361  ,ZHG00361  ,ZHB00361  ,28872
1062,Zemlak-Cormier,MED,PPO  ,ZPP00363  ,ZPG00363  ,ZPB00363  ,8078
1062,Zemlak-Cormier,MED,POS  ,ZPP00362  ,ZPG00362  ,ZPB00362  ,4137
1063,"Bosco, Howell and O'Kon",MED,HMO  ,BHP00364  ,BHG00364  ,BHB00364  ,4973
1063,"Bosco, Howell and O'Kon",MED,PPO  ,BPP00366  ,BPG00366  ,BPB00366  ,1412
1063,"Bosco, Howell and O'Kon",MED,POS  ,BPP00365  ,BPG00365  ,BPB00365  ,719
1063,"Bosco, Howell and O'Kon",PDP,PDP  ,BPP00369  ,BPG00369  ,BPB00369  ,4248
1063,"Bosco, Howell and O'Kon","MED,PDP",GHMO ,BGP00367  ,BGG00367  ,BGB00367  ,2305
1063,"Bosco, Howell and O'Kon","MED,PDP",GPPO ,BGP00368  ,BGG00368  ,BGB00368  ,587
1064,Hahn Inc,MED,HMO  ,HHP00370  ,HHG00370  ,HHB00370  ,13413
1064,Hahn Inc,MED,PPO  ,HPP00372  ,HPG00372  ,HPB00372  ,3858
1064,Hahn Inc,MED,POS  ,HPP00371  ,HPG00371  ,HPB00371  ,1983
1064,Hahn Inc,PDP,PDP  ,HPP00375  ,HPG00375  ,HPB00375  ,11713
1064,Hahn Inc,"MED,PDP",GHMO ,HGP00373  ,HGG00373  ,HGB00373  ,6187
1064,Hahn Inc,"MED,PDP",GPPO ,HGP00374  ,HGG00374  ,HGB00374  ,1580
1065,Spencer-Hahn,MED,HMO  ,SHP00379  ,SHG00379  ,SHB00379  ,9313
1065,Spencer-Hahn,MED,PPO  ,SPP00381  ,SPG00381  ,SPB00381  ,2641
1065,Spencer-Hahn,MED,POS  ,SPP00380  ,SPG00380  ,SPB00380  ,1333
1065,Spencer-Hahn,DENT,DHMO ,SDP00377  ,SDG00377  ,SDB00377  ,1011
1065,Spencer-Hahn,DENT,DPPO ,SDP00378  ,SDG00378  ,SDB00378  ,349
1065,Spencer-Hahn,DENT,DEPO ,SDP00376  ,SDG00376  ,SDB00376  ,315
1065,Spencer-Hahn,"MED,DENT",GHMO ,SGP00382  ,SGG00382  ,SGB00382  ,1478
1065,Spencer-Hahn,"MED,DENT",GPPO ,SGP00383  ,SGG00383  ,SGB00383  ,158
1066,McKenzie-Blick,MED,HMO  ,MHP00384  ,MHG00384  ,MHB00384  ,4202
1066,McKenzie-Blick,MED,PPO  ,MPP00386  ,MPG00386  ,MPB00386  ,1168
1066,McKenzie-Blick,MED,POS  ,MPP00385  ,MPG00385  ,MPB00385  ,642
1066,McKenzie-Blick,PDP,PDP  ,MPP00389  ,MPG00389  ,MPB00389  ,3601
1066,McKenzie-Blick,"MED,PDP",GHMO ,MGP00387  ,MGG00387  ,MGB00387  ,1783
1066,McKenzie-Blick,"MED,PDP",GPPO ,MGP00388  ,MGG00388  ,MGB00388  ,472
1067,"Kutch, Murazik and Okuneva",PDP,PDP  ,KPP00390  ,KPG00390  ,KPB00390  ,3881
1068,Romaguera-Predovic,PDP,PDP  ,RPP00391  ,RPG00391  ,RPB00391  ,14352
1069,"Heaney, Glover and Wunsch",MED,HMO  ,HHP00392  ,HHG00392  ,HHB00392  ,11076
1069,"Heaney, Glover and Wunsch",MED,PPO  ,HPP00394  ,HPG00394  ,HPB00394  ,3215
1069,"Heaney, Glover and Wunsch",MED,POS  ,HPP00393  ,HPG00393  ,HPB00393  ,1599
1070,Windler-Ernser,MED,HMO  ,WHP00400  ,WHG00400  ,WHB00400  ,2014
1070,Windler-Ernser,MED,PPO  ,WPP00402  ,WPG00402  ,WPB00402  ,534
1070,Windler-Ernser,MED,POS  ,WPP00401  ,WPG00401  ,WPB00401  ,294
1070,Windler-Ernser,DENT,DHMO ,WDP00396  ,WDG00396  ,WDB00396  ,435
1070,Windler-Ernser,DENT,DPPO ,WDP00397  ,WDG00397  ,WDB00397  ,150
1070,Windler-Ernser,DENT,DEPO ,WDP00395  ,WDG00395  ,WDB00395  ,146
1070,Windler-Ernser,PDP,PDP  ,WPP00409  ,WPG00409  ,WPB00409  ,711
1070,Windler-Ernser,"MED,DENT",GHMO ,WGP00403  ,WGG00403  ,WGB00403  ,2650
1070,Windler-Ernser,"MED,DENT",GPPO ,WGP00404  ,WGG00404  ,WGB00404  ,280
1070,Windler-Ernser,"MED,PDP",GHMO ,WGP00407  ,WGG00407  ,WGB00407  ,1155
1070,Windler-Ernser,"MED,PDP",GPPO ,WGP00408  ,WGG00408  ,WGB00408  ,311
1070,Windler-Ernser,"DENT,PDP",GHMO ,WGP00398  ,WGG00398  ,WGB00398  ,498
1070,Windler-Ernser,"DENT,PDP",GPPO ,WGP00399  ,WGG00399  ,WGB00399  ,213
1070,Windler-Ernser,"MED,DENT,PDP",GHMO ,WGP00406  ,WGG00406  ,WGB00406  ,1517
1070,Windler-Ernser,"MED,DENT,PDP",GEPO ,WGP00405  ,WGG00405  ,WGB00405  ,3522
1071,Heaney-Reynolds,MED,HMO  ,HHP00410  ,HHG00410  ,HHB00410  ,15144
1071,Heaney-Reynolds,MED,PPO  ,HPP00412  ,HPG00412  ,HPB00412  ,4392
1071,Heaney-Reynolds,MED,POS  ,HPP00411  ,HPG00411  ,HPB00411  ,2160
1071,Heaney-Reynolds,PDP,PDP  ,HPP00415  ,HPG00415  ,HPB00415  ,13164
1071,Heaney-Reynolds,"MED,PDP",GHMO ,HGP00413  ,HGG00413  ,HGB00413  ,7002
1071,Heaney-Reynolds,"MED,PDP",GPPO ,HGP00414  ,HGG00414  ,HGB00414  ,1779
1072,"Russel, Gleichner and Lynch",MED,HMO  ,RHP00416  ,RHG00416  ,RHB00416  ,25125
1072,"Russel, Gleichner and Lynch",MED,PPO  ,RPP00418  ,RPG00418  ,RPB00418  ,7224
1072,"Russel, Gleichner and Lynch",MED,POS  ,RPP00417  ,RPG00417  ,RPB00417  ,3640
1073,Cummerata and Sons,MED,HMO  ,CHP00419  ,CHG00419  ,CHB00419  ,8238
1073,Cummerata and Sons,MED,PPO  ,CPP00421  ,CPG00421  ,CPB00421  ,2345
1073,Cummerata and Sons,MED,POS  ,CPP00420  ,CPG00420  ,CPB00420  ,1169
1074,Hoeger-Cartwright,MED,HMO  ,HHP00422  ,HHG00422  ,HHB00422  ,2428
1074,Hoeger-Cartwright,MED,PPO  ,HPP00424  ,HPG00424  ,HPB00424  ,666
1074,Hoeger-Cartwright,MED,POS  ,HPP00423  ,HPG00423  ,HPB00423  ,365
1075,Feeney LLC,MED,HMO  ,FHP00430  ,FHG00430  ,FHB00430  ,4793
1075,Feeney LLC,MED,PPO  ,FPP00432  ,FPG00432  ,FPB00432  ,1352
1075,Feeney LLC,MED,POS  ,FPP00431  ,FPG00431  ,FPB00431  ,676
1075,Feeney LLC,DENT,DHMO ,FDP00426  ,FDG00426  ,FDB00426  ,1039
1075,Feeney LLC,DENT,DPPO ,FDP00427  ,FDG00427  ,FDB00427  ,327
1075,Feeney LLC,DENT,DEPO ,FDP00425  ,FDG00425  ,FDB00425  ,340
1075,Feeney LLC,PDP,PDP  ,FPP00439  ,FPG00439  ,FPB00439  ,1691
1075,Feeney LLC,"MED,DENT",GHMO ,FGP00433  ,FGG00433  ,FGB00433  ,6205
1075,Feeney LLC,"MED,DENT",GPPO ,FGP00434  ,FGG00434  ,FGB00434  ,736
1075,Feeney LLC,"MED,PDP",GHMO ,FGP00437  ,FGG00437  ,FGB00437  ,2784
1075,Feeney LLC,"MED,PDP",GPPO ,FGP00438  ,FGG00438  ,FGB00438  ,698
1075,Feeney LLC,"DENT,PDP",GHMO ,FGP00428  ,FGG00428  ,FGB00428  ,1153
1075,Feeney LLC,"DENT,PDP",GPPO ,FGP00429  ,FGG00429  ,FGB00429  ,512
1075,Feeney LLC,"MED,DENT,PDP",GHMO ,FGP00436  ,FGG00436  ,FGB00436  ,3609
1075,Feeney LLC,"MED,DENT,PDP",GEPO ,FGP00435  ,FGG00435  ,FGB00435  ,8468
1076,Flatley-Friesen,MED,HMO  ,FHP00443  ,FHG00443  ,FHB00443  ,22209
1076,Flatley-Friesen,MED,PPO  ,FPP00445  ,FPG00445  ,FPB00445  ,6286
1076,Flatley-Friesen,MED,POS  ,FPP00444  ,FPG00444  ,FPB00444  ,3163
1076,Flatley-Friesen,DENT,DHMO ,FDP00441  ,FDG00441  ,FDB00441  ,2315
1076,Flatley-Friesen,DENT,DPPO ,FDP00442  ,FDG00442  ,FDB00442  ,795
1076,Flatley-Friesen,DENT,DEPO ,FDP00440  ,FDG00440  ,FDB00440  ,740
1076,Flatley-Friesen,"MED,DENT",GHMO ,FGP00446  ,FGG00446  ,FGB00446  ,3594
1076,Flatley-Friesen,"MED,DENT",GPPO ,FGP00447  ,FGG00447  ,FGB00447  ,403
1077,Erdman Group,MED,HMO  ,EHP00448  ,EHG00448  ,EHB00448  ,27714
1077,Erdman Group,MED,PPO  ,EPP00450  ,EPG00450  ,EPB00450  ,7939
1077,Erdman Group,MED,POS  ,EPP00449  ,EPG00449  ,EPB00449  ,3946
1078,Morissette PLC,MED,HMO  ,MHP00451  ,MHG00451  ,MHB00451  ,10185
1078,Morissette PLC,MED,PPO  ,MPP00453  ,MPG00453  ,MPB00453  ,3003
1078,Morissette PLC,MED,POS  ,MPP00452  ,MPG00452  ,MPB00452  ,1489
1079,Ondricka Ltd,MED,HMO  ,OHP00454  ,OHG00454  ,OHB00454  ,24570
1079,Ondricka Ltd,MED,PPO  ,OPP00456  ,OPG00456  ,OPB00456  ,7021
1079,Ondricka Ltd,MED,POS  ,OPP00455  ,OPG00455  ,OPB00455  ,3466
1080,Conn-Klocko,PDP,PDP  ,CPP00457  ,CPG00457  ,CPB00457  ,39306
1081,Hermiston Inc,MED,HMO  ,HHP00458  ,HHG00458  ,HHB00458  ,19291
1081,Hermiston Inc,MED,PPO  ,HPP00460  ,HPG00460  ,HPB00460  ,5540
1081,Hermiston Inc,MED,POS  ,HPP00459  ,HPG00459  ,HPB00459  ,2823
1082,"Medhurst, Baumbach and Connelly",MED,HMO  ,MHP00464  ,MHG00464  ,MHB00464  ,1410
1082,"Medhurst, Baumbach and Connelly",MED,PPO  ,MPP00466  ,MPG00466  ,MPB00466  ,404
1082,"Medhurst, Baumbach and Connelly",MED,POS  ,MPP00465  ,MPG00465  ,MPB00465  ,214
1082,"Medhurst, Baumbach and Connelly",DENT,DHMO ,MDP00462  ,MDG00462  ,MDB00462  ,149
1082,"Medhurst, Baumbach and Connelly",DENT,DPPO ,MDP00463  ,MDG00463  ,MDB00463  ,59
1082,"Medhurst, Baumbach and Connelly",DENT,DEPO ,MDP00461  ,MDG00461  ,MDB00461  ,60
1082,"Medhurst, Baumbach and Connelly","MED,DENT",GHMO ,MGP00467  ,MGG00467  ,MGB00467  ,245
1082,"Medhurst, Baumbach and Connelly","MED,DENT",GPPO ,MGP00468  ,MGG00468  ,MGB00468  ,22
1083,"Abernathy, Hills and Torphy",MED,HMO  ,AHP00469  ,AHG00469  ,AHB00469  ,15492
1083,"Abernathy, Hills and Torphy",MED,PPO  ,APP00471  ,APG00471  ,APB00471  ,4397
1083,"Abernathy, Hills and Torphy",MED,POS  ,APP00470  ,APG00470  ,APB00470  ,2208
1084,"Monahan, Feeney and Champlin",MED,HMO  ,MHP00472  ,MHG00472  ,MHB00472  ,948
1084,"Monahan, Feeney and Champlin",MED,PPO  ,MPP00474  ,MPG00474  ,MPB00474  ,274
1084,"Monahan, Feeney and Champlin",MED,POS  ,MPP00473  ,MPG00473  ,MPB00473  ,148
1085,"Hoeger, O'Reilly and Kerluke",MED,HMO  ,HHP00475  ,HHG00475  ,HHB00475  ,3194
1085,"Hoeger, O'Reilly and Kerluke",MED,PPO  ,HPP00477  ,HPG00477  ,HPB00477  ,930
1085,"Hoeger, O'Reilly and Kerluke",MED,POS  ,HPP00476  ,HPG00476  ,HPB00476  ,473
1086,"Abbott, Donnelly and Jacobson",MED,HMO  ,AHP00481  ,AHG00481  ,AHB00481  ,6744
1086,"Abbott, Donnelly and Jacobson",MED,PPO  ,APP00483  ,APG00483  ,APB00483  ,1935
1086,"Abbott, Donnelly and Jacobson",MED,POS  ,APP00482  ,APG00482  ,APB00482  ,939
1086,"Abbott, Donnelly and Jacobson",DENT,DHMO ,ADP00479  ,ADG00479  ,ADB00479  ,738
1086,"Abbott, Donnelly and Jacobson",DENT,DPPO ,ADP00480  ,ADG00480  ,ADB00480  ,231
1086,"Abbott, Donnelly and Jacobson",DENT,DEPO ,ADP00478  ,ADG00478  ,ADB00478  ,253
1086,"Abbott, Donnelly and Jacobson","MED,DENT",GHMO ,AGP00484  ,AGG00484  ,AGB00484  ,1067
1086,"Abbott, Donnelly and Jacobson","MED,DENT",GPPO ,AGP00485  ,AGG00485  ,AGB00485  ,115
1087,"Hills, Ritchie and Steuber",DENT,DHMO ,HDP00487  ,HDG00487  ,HDB00487  ,15289
1087,"Hills, Ritchie and Steuber",DENT,DPPO ,HDP00488  ,HDG00488  ,HDB00488  ,5138
1087,"Hills, Ritchie and Steuber",DENT,DEPO ,HDP00486  ,HDG00486  ,HDB00486  ,5157
1087,"Hills, Ritchie and Steuber",PDP,PDP  ,HPP00491  ,HPG00491  ,HPB00491  ,8911
1087,"Hills, Ritchie and Steuber","DENT,PDP",GHMO ,HGP00489  ,HGG00489  ,HGB00489  ,6075
1087,"Hills, Ritchie and Steuber","DENT,PDP",GPPO ,HGP00490  ,HGG00490  ,HGB00490  ,2502
1088,"Nikolaus, Lockman and Morar",MED,HMO  ,NHP00492  ,NHG00492  ,NHB00492  ,20014
1088,"Nikolaus, Lockman and Morar",MED,PPO  ,NPP00494  ,NPG00494  ,NPB00494  ,5652
1088,"Nikolaus, Lockman and Morar",MED,POS  ,NPP00493  ,NPG00493  ,NPB00493  ,2877
1089,Rempel Ltd,MED,HMO  ,RHP00498  ,RHG00498  ,RHB00498  ,3404
1089,Rempel Ltd,MED,PPO  ,RPP00500  ,RPG00500  ,RPB00500  ,942
1089,Rempel Ltd,MED,POS  ,RPP00499  ,RPG00499  ,RPB00499  ,500
1089,Rempel Ltd,DENT,DHMO ,RDP00496  ,RDG00496  ,RDB00496  ,377
1089,Rempel Ltd,DENT,DPPO ,RDP00497  ,RDG00497  ,RDB00497  ,125
1089,Rempel Ltd,DENT,DEPO ,RDP00495  ,RDG00495  ,RDB00495  ,138
1089,Rempel Ltd,"MED,DENT",GHMO ,RGP00501  ,RGG00501  ,RGB00501  ,545
1089,Rempel Ltd,"MED,DENT",GPPO ,RGP00502  ,RGG00502  ,RGB00502  ,45
1090,Kuhic and Sons,PDP,PDP  ,KPP00503  ,KPG00503  ,KPB00503  ,32378
1091,"Brakus, Donnelly and Auer",MED,HMO  ,BHP00507  ,BHG00507  ,BHB00507  ,1060
1091,"Brakus, Donnelly and Auer",MED,PPO  ,BPP00509  ,BPG00509  ,BPB00509  ,311
1091,"Brakus, Donnelly and Auer",MED,POS  ,BPP00508  ,BPG00508  ,BPB00508  ,152
1091,"Brakus, Donnelly and Auer",DENT,DHMO ,BDP00505  ,BDG00505  ,BDB00505  ,108
1091,"Brakus, Donnelly and Auer",DENT,DPPO ,BDP00506  ,BDG00506  ,BDB00506  ,23
1091,"Brakus, Donnelly and Auer",DENT,DEPO ,BDP00504  ,BDG00504  ,BDB00504  ,50
1091,"Brakus, Donnelly and Auer","MED,DENT",GHMO ,BGP00510  ,BGG00510  ,BGB00510  ,194
1091,"Brakus, Donnelly and Auer","MED,DENT",GPPO ,BGP00511  ,BGG00511  ,BGB00511  ,30
1092,"Deckow, McDermott and Graham",MED,HMO  ,DHP00515  ,DHG00515  ,DHB00515  ,8917
1092,"Deckow, McDermott and Graham",MED,PPO  ,DPP00517  ,DPG00517  ,DPB00517  ,2566
1092,"Deckow, McDermott and Graham",MED,POS  ,DPP00516  ,DPG00516  ,DPB00516  ,1225
1092,"Deckow, McDermott and Graham",DENT,DHMO ,DDP00513  ,DDG00513  ,DDB00513  ,947
1092,"Deckow, McDermott and Graham",DENT,DPPO ,DDP00514  ,DDG00514  ,DDB00514  ,299
1092,"Deckow, McDermott and Graham",DENT,DEPO ,DDP00512  ,DDG00512  ,DDB00512  ,319
1092,"Deckow, McDermott and Graham","MED,DENT",GHMO ,DGP00518  ,DGG00518  ,DGB00518  ,1353
1092,"Deckow, McDermott and Graham","MED,DENT",GPPO ,DGP00519  ,DGG00519  ,DGB00519  ,157
1093,Marvin Inc,PDP,PDP  ,MPP00520  ,MPG00520  ,MPB00520  ,15028
1094,Mueller Inc,DENT,DHMO ,MDP00522  ,MDG00522  ,MDB00522  ,3570
1094,Mueller Inc,DENT,DPPO ,MDP00523  ,MDG00523  ,MDB00523  ,1215
1094,Mueller Inc,DENT,DEPO ,MDP00521  ,MDG00521  ,MDB00521  ,1168
1094,Mueller Inc,PDP,PDP  ,MPP00526  ,MPG00526  ,MPB00526  ,2024
1094,Mueller Inc,"DENT,PDP",GHMO ,MGP00524  ,MGG00524  ,MGB00524  ,1373
1094,Mueller Inc,"DENT,PDP",GPPO ,MGP00525  ,MGG00525  ,MGB00525  ,620
1095,Stiedemann-Oberbrunner,MED,HMO  ,SHP00530  ,SHG00530  ,SHB00530  ,2789
1095,Stiedemann-Oberbrunner,MED,PPO  ,SPP00532  ,SPG00532  ,SPB00532  ,803
1095,Stiedemann-Oberbrunner,MED,POS  ,SPP00531  ,SPG00531  ,SPB00531  ,410
1095,Stiedemann-Oberbrunner,DENT,DHMO ,SDP00528  ,SDG00528  ,SDB00528  ,300
1095,Stiedemann-Oberbrunner,DENT,DPPO ,SDP00529  ,SDG00529  ,SDB00529  ,101
1095,Stiedemann-Oberbrunner,DENT,DEPO ,SDP00527  ,SDG00527  ,SDB00527  ,103
1095,Stiedemann-Oberbrunner,"MED,DENT",GHMO ,SGP00533  ,SGG00533  ,SGB00533  ,451
1095,Stiedemann-Oberbrunner,"MED,DENT",GPPO ,SGP00534  ,SGG00534  ,SGB00534  ,39
1096,Orn LLC,DENT,DHMO ,ODP00536  ,ODG00536  ,ODB00536  ,1067
1096,Orn LLC,DENT,DPPO ,ODP00537  ,ODG00537  ,ODB00537  ,351
1096,Orn LLC,DENT,DEPO ,ODP00535  ,ODG00535  ,ODB00535  ,350
1096,Orn LLC,PDP,PDP  ,OPP00540  ,OPG00540  ,OPB00540  ,604
1096,Orn LLC,"DENT,PDP",GHMO ,OGP00538  ,OGG00538  ,OGB00538  ,382
1096,Orn LLC,"DENT,PDP",GPPO ,OGP00539  ,OGG00539  ,OGB00539  ,165
1097,Borer LLC,MED,HMO  ,BHP00541  ,BHG00541  ,BHB00541  ,1652
1097,Borer LLC,MED,PPO  ,BPP00543  ,BPG00543  ,BPB00543  ,484
1097,Borer LLC,MED,POS  ,BPP00542  ,BPG00542  ,BPB00542  ,240
1097,Borer LLC,PDP,PDP  ,BPP00546  ,BPG00546  ,BPB00546  ,1423
1097,Borer LLC,"MED,PDP",GHMO ,BGP00544  ,BGG00544  ,BGB00544  ,790
